PCA_1,PCA_2,PCA_3
-11962.974056002478,-846.6467748077647,-119.88141175518494
-11962.972531805415,-845.6513792977004,-119.81763409022003
-11962.971289562427,-845.6242276417515,-120.1764025388148
-11962.973152926908,-845.6649551256747,-119.63824986592265
-12409.033396826062,-841.6101523495554,124.79517793773931
-12193.968708313856,-844.4412972851262,166.57389821624764
-12197.967177799183,-843.4389892449709,166.63780043397117
-12197.968213001672,-843.4616156249283,166.93677414113347
-12195.971114727447,-843.5284257538542,167.7738382448086
-5068.964785365625,-854.276943714112,-117.11793700296403
-11999.970864376151,-841.6725320079433,-158.00191643709076
-11999.976925290834,-841.0298752715596,80.73403435680785
-12444.019416075886,-836.3084712883751,-36.62141883177364
-12286.966644307216,-839.301850545134,8.627202464817685
-12444.029279106206,-835.5619659578414,-33.26893038802339
-12286.968978966033,-837.4287167007833,10.309421071991466
-12286.960829473037,-836.288512358992,8.459767011117606
-11995.96073874879,-835.691633397098,-150.15086581356076
-11995.966608053172,-835.040191479165,82.71462675401739
-12444.014393738944,-830.5549316554208,127.77530904639445
-12286.965687866654,-832.6750978538848,174.70216602662708
-12288.956707052861,-831.5133361430821,172.61339527640268
-12286.955807136095,-830.5349727260376,172.85649488928567
-12286.952833655545,-829.5079002840329,172.50170936422336
-12286.952965782464,-828.5487069819003,173.0438449606479
-12225.943463349531,-827.4822417920537,170.77372828017764
-12286.94846810485,-826.5262390298311,172.7528371005505
-12288.946940748981,-825.5273872547214,172.8166770418947
-12288.943967268433,-824.5003148127166,172.4618915168324
-12288.944099395352,-823.541121510584,173.004027113257
-12227.930870233457,-822.3932013528911,169.65760508700242
-12225.929763276192,-821.4103126598551,169.84090995845298
-12225.92720387664,-820.3922907698334,169.60571391625552
-12225.926714882064,-819.4195216397263,169.9684652883828
-1305.9385039901626,-837.2093530337843,168.55611383505942
-11178.920972271833,-819.1430545750509,168.80772936365832
-12225.920693007387,-816.4016581775928,169.74123509325022
-12227.919165651518,-815.402806402483,169.80507503459444
-12227.916606251963,-814.3847845124612,169.5698789923971
-12227.91611725739,-813.4120153823542,169.93263036452424
-12423.978340248788,-809.5986114685429,129.8749418269885
-12290.92959647084,-811.6773024864619,176.80254612377297
-11998.917804357083,-810.7045355143069,-139.28869256242655
-11998.922811415108,-810.013560279402,67.15973798670944
-12003.916952659061,-808.8161174274222,-59.0509752647001
-12290.910105615674,-807.1064498563162,-201.88587252120072
-12419.954578355,-802.9925007707712,-280.05495132262234
-12408.964952444687,-802.5707799825548,96.57663052828889
-12253.917974651153,-805.6874107020293,143.4995668613684
-12003.906834203795,-804.6700145907103,-156.87601400924504
-12003.91337414423,-804.0493208081998,96.53608235045482
1274.0847377319387,-825.686772728573,180.28042053490037
-12385.971063230783,-798.9286840065707,142.99037855729125
-12381.97140871581,-797.9809285105204,143.5921843423896
-11995.897615820302,-799.6578801759646,-174.46772317606155
-11995.904570916387,-799.0562209534777,91.66369934066597
2451.097506817463,-822.4473759525661,-2.698929216987125
-12385.956435188591,-793.6552752513377,-39.95232154536828
-12405.947580937172,-792.5738281257145,94.65954694027084
-12248.901117263247,-795.7173422610325,157.23697626715898
-12423.933797186646,-790.98653880801,-280.0070316874744
-12446.933036114237,-789.997985181086,-242.88255856031594
-12419.944377021013,-789.6421163184967,156.31174302188845
-12446.940271880923,-788.4886495788112,84.89265825630918
-12290.893295666792,-791.6070084308084,131.81556345119895
-12231.877992941112,-790.4103792481553,127.87125628699908
-9796.873275212056,-793.4691270471726,125.82619125144174
-12423.927497447698,-785.1744312980602,-154.7466919847762
-12290.878753669747,-787.2531223159792,-107.81908768799173
-12419.921684841322,-783.9940058357098,-279.979275775506
228.11587795069136,-807.798418505134,125.58577441214453
-12381.922578185067,-782.2617597898783,-142.0765196025493
-12252.869676532986,-784.1431926774715,-222.34205232328327
-12472.855382437512,-782.4960914529235,-225.85910874254114
